name|weight|mass|A|d|b|t|y|yp|Ix|Zx|Sx|rx|Iy|Zy|Sy|ry|ro|H
 |lbf/ft|lbm/ft|in²|in|in|in|in|in|in⁴|in³|in³|in|in⁴|in³|in³|in|in|
2L12X12X1-3/8|210|210|62.2|12.0|12.0|1.38|3.50|1.30|826|176|97.2|3.64|1590|218|133|5.06|6.84|0.831
2L12X12X1-3/8X3/4|210|210|62.2|12.0|12.0|1.38|3.50|1.30|826|176|97.2|3.64|1760|241|142|5.32|7.03|0.840
2L12X12X1-3/8X1-1/2|210|210|62.2|12.0|12.0|1.38|3.50|1.30|826|176|97.2|3.64|1950|264|153|5.60|7.25|0.850
2L12X12X1-1/4|193|193|56.8|12.0|12.0|1.25|3.45|1.18|762|161|89.2|3.66|1440|196|120|5.04|6.84|0.829
2L12X12X1-1/4X3/4|193|193|56.8|12.0|12.0|1.25|3.45|1.18|762|161|89.2|3.66|1590|217|128|5.29|7.03|0.839
2L12X12X1-1/4X1-1/2|193|193|56.8|12.0|12.0|1.25|3.45|1.18|762|161|89.2|3.66|1760|239|138|5.57|7.24|0.848
2L12X12X1-1/8|174|174|51.6|12.0|12.0|1.13|3.41|1.08|700|147|81.4|3.68|1300|176|108|5.02|6.85|0.827
2L12X12X1-1/8X3/4|174|174|51.6|12.0|12.0|1.13|3.41|1.08|700|147|81.4|3.68|1440|195|116|5.28|7.04|0.837
2L12X12X1-1/8X1-1/2|174|174|51.6|12.0|12.0|1.13|3.41|1.08|700|147|81.4|3.68|1590|215|125|5.55|7.24|0.846
2L12X12X1|156|156|46.0|12.0|12.0|1.00|3.36|0.958|630|132|73.0|3.70|1150|155|95.8|5.00|6.85|0.826
2L12X12X1X3/4|156|156|46.0|12.0|12.0|1.00|3.36|0.958|630|132|73.0|3.70|1270|172|103|5.25|7.03|0.834
2L12X12X1X1-1/2|156|156|46.0|12.0|12.0|1.00|3.36|0.958|630|132|73.0|3.70|1410|189|111|5.54|7.25|0.844
2L10X10X1-3/8|174|174|51.2|10.0|10.0|1.38|3.00|1.28|462|120|66.0|3.00|923|154|92.3|4.25|5.69|0.835
2L10X10X1-3/8X3/4|174|174|51.2|10.0|10.0|1.38|3.00|1.28|462|120|66.0|3.00|1050|173|101|4.53|5.90|0.847
2L10X10X1-3/8X1-1/2|174|174|51.2|10.0|10.0|1.38|3.00|1.28|462|120|66.0|3.00|1180|192|110|4.80|6.12|0.858
2L10X10X1-1/4|160|160|46.8|10.0|10.0|1.25|2.95|1.17|426|110|60.4|3.02|833|138|83.3|4.22|5.68|0.832
2L10X10X1-1/4X3/4|160|160|46.8|10.0|10.0|1.25|2.95|1.17|426|110|60.4|3.02|943|156|90.9|4.49|5.89|0.844
2L10X10X1-1/4X1-1/2|160|160|46.8|10.0|10.0|1.25|2.95|1.17|426|110|60.4|3.02|1070|173|99.5|4.78|6.11|0.855
2L10X10X1-1/8|145|145|42.6|10.0|10.0|1.13|2.90|1.07|392|100|55.2|3.03|750|124|75.0|4.20|5.68|0.831
2L10X10X1-1/8X3/4|145|145|42.6|10.0|10.0|1.13|2.90|1.07|392|100|55.2|3.03|849|140|81.8|4.46|5.88|0.842
2L10X10X1-1/8X1-1/2|145|145|42.6|10.0|10.0|1.13|2.90|1.07|392|100|55.2|3.03|960|155|89.3|4.75|6.10|0.853
2L10X10X1|129|129|38.0|10.0|10.0|1.00|2.86|0.950|354|90.0|49.6|3.05|665|109|66.5|4.18|5.69|0.828
2L10X10X1X3/4|129|129|38.0|10.0|10.0|1.00|2.86|0.950|354|90.0|49.6|3.05|752|123|72.5|4.45|5.89|0.839
2L10X10X1X1-1/2|129|129|38.0|10.0|10.0|1.00|2.86|0.950|354|90.0|49.6|3.05|849|137|79.0|4.73|6.10|0.850
2L10X10X7/8|114|114|33.6|10.0|10.0|0.875|2.80|0.840|316|79.8|43.8|3.07|579|94.1|57.9|4.15|5.68|0.827
2L10X10X7/8X3/4|114|114|33.6|10.0|10.0|0.875|2.80|0.840|316|79.8|43.8|3.07|655|107|63.1|4.42|5.87|0.838
2L10X10X7/8X1-1/2|114|114|33.6|10.0|10.0|0.875|2.80|0.840|316|79.8|43.8|3.07|739|119|68.7|4.69|6.08|0.849
2L10X10X3/4|98.2|98.2|29.0|10.0|10.0|0.750|2.76|0.725|278|69.2|38.4|3.10|499|80.0|49.9|4.15|5.70|0.825
2L10X10X3/4X3/4|98.2|98.2|29.0|10.0|10.0|0.750|2.76|0.725|278|69.2|38.4|3.10|563|90.9|54.3|4.41|5.89|0.836
2L10X10X3/4X1-1/2|98.2|98.2|29.0|10.0|10.0|0.750|2.76|0.725|278|69.2|38.4|3.10|635|102|59.1|4.68|6.10|0.847
2L8X8X1-1/8|114|114|33.6|8.00|8.00|1.13|2.40|1.05|196|63.2|35.0|2.41|391|80.6|48.9|3.41|4.56|0.837
2L8X8X1-1/8X3/8|114|114|33.6|8.00|8.00|1.13|2.40|1.05|196|63.2|35.0|2.41|421|86.9|51.4|3.54|4.66|0.844
2L8X8X1-1/8X3/4|114|114|33.6|8.00|8.00|1.13|2.40|1.05|196|63.2|35.0|2.41|455|93.2|54.3|3.68|4.77|0.851
2L8X8X1|102|102|30.2|8.00|8.00|1.00|2.36|0.944|178|57.0|31.6|2.43|347|71.3|43.4|3.39|4.56|0.834
2L8X8X1X3/8|102|102|30.2|8.00|8.00|1.00|2.36|0.944|178|57.0|31.6|2.43|374|76.9|45.7|3.52|4.66|0.841
2L8X8X1X3/4|102|102|30.2|8.00|8.00|1.00|2.36|0.944|178|57.0|31.6|2.43|405|82.6|48.4|3.66|4.77|0.848
2L8X8X7/8|90.0|90.0|26.6|8.00|8.00|0.875|2.31|0.831|159|50.6|28.0|2.45|300|61.4|37.5|3.36|4.56|0.831
2L8X8X7/8X3/8|90.0|90.0|26.6|8.00|8.00|0.875|2.31|0.831|159|50.6|28.0|2.45|326|66.4|39.8|3.50|4.66|0.838
2L8X8X7/8X3/4|90.0|90.0|26.6|8.00|8.00|0.875|2.31|0.831|159|50.6|28.0|2.45|351|71.4|41.9|3.63|4.76|0.845
2L8X8X3/4|77.8|77.8|23.0|8.00|8.00|0.750|2.26|0.719|140|44.0|24.4|2.46|257|52.0|32.1|3.34|4.56|0.829
2L8X8X3/4X3/8|77.8|77.8|23.0|8.00|8.00|0.750|2.26|0.719|140|44.0|24.4|2.46|277|56.3|33.8|3.47|4.66|0.836
2L8X8X3/4X3/4|77.8|77.8|23.0|8.00|8.00|0.750|2.26|0.719|140|44.0|24.4|2.46|300|60.6|35.8|3.61|4.76|0.843
2L8X8X5/8|65.4|65.4|19.4|8.00|8.00|0.625|2.21|0.606|119|37.2|20.6|2.48|214|42.8|26.8|3.32|4.56|0.826
2L8X8X5/8X3/8|65.4|65.4|19.4|8.00|8.00|0.625|2.21|0.606|119|37.2|20.6|2.48|231|46.5|28.2|3.45|4.66|0.833
2L8X8X5/8X3/4|65.4|65.4|19.4|8.00|8.00|0.625|2.21|0.606|119|37.2|20.6|2.48|249|50.1|29.7|3.58|4.76|0.840
2L8X8X9/16|59.2|59.2|17.5|8.00|8.00|0.563|2.19|0.548|108|33.6|18.7|2.49|192|38.4|24.0|3.31|4.56|0.825
2L8X8X9/16X3/8|59.2|59.2|17.5|8.00|8.00|0.563|2.19|0.548|108|33.6|18.7|2.49|207|41.7|25.3|3.44|4.65|0.832
2L8X8X9/16X3/4|59.2|59.2|17.5|8.00|8.00|0.563|2.19|0.548|108|33.6|18.7|2.49|223|45.0|26.6|3.57|4.75|0.839
2L8X8X1/2|52.8|52.8|15.7|8.00|8.00|0.500|2.17|0.490|97.6|30.2|16.7|2.49|171|34.0|21.4|3.30|4.56|0.824
2L8X8X1/2X3/8|52.8|52.8|15.7|8.00|8.00|0.500|2.17|0.490|97.6|30.2|16.7|2.49|185|37.0|22.6|3.43|4.65|0.831
2L8X8X1/2X3/4|52.8|52.8|15.7|8.00|8.00|0.500|2.17|0.490|97.6|30.2|16.7|2.49|199|39.9|23.8|3.56|4.75|0.837
2L6X6X1|74.8|74.8|22.0|6.00|6.00|1.00|1.86|0.917|70.8|30.8|17.1|1.79|146|40.9|24.3|2.58|3.42|0.843
