name|weight|mass|A|d|bf|tw|tf|kdes|Ix|Zx|Sx|rx|Iy|Zy|Sy|ry|J|Cw|Wno|Sw1|Qf|Qw|rts|T|WGi
 |lbf/ft|lbm/ft|in²|in|in|in|in|in|in⁴|in³|in³|in|in⁴|in³|in³|in|in⁴|in⁶|in²|in⁴|in³|in³|in|in|in
M12.5X12.4|12.4|12.4|3.63|12.5|3.75|0.155|0.228|0.563|89.3|16.5|14.2|4.96|2.01|1.68|1.07|0.744|0.0493|76.0|11.5|2.46|2.51|8.06|0.933|11.375|0
M12.5X11.6|11.6|11.6|3.40|12.5|3.50|0.155|0.211|0.563|80.3|15.0|12.8|4.86|1.51|1.37|0.864|0.667|0.0414|57.1|10.8|1.99|2.17|7.36|0.852|11.375|0
M12X11.8|11.8|11.8|3.47|12.0|3.07|0.177|0.225|0.563|72.2|14.3|12.0|4.56|1.09|1.15|0.709|0.559|0.0500|37.7|9.04|1.56|1.92|7.02|0.731|10.875|0
M12X10.8|10.8|10.8|3.18|12.0|3.07|0.160|0.210|0.563|66.7|13.2|11.1|4.58|1.01|1.07|0.661|0.564|0.0393|35.0|9.05|1.46|1.80|6.48|0.732|10.875|0
M12X10|10.0|10.0|2.95|12.0|3.25|0.149|0.180|0.500|61.7|12.2|10.3|4.57|1.03|1.02|0.636|0.592|0.0292|35.9|9.60|1.40|1.65|5.98|0.768|11|0
M10X9|9.00|9.00|2.65|10.0|2.69|0.157|0.206|0.563|39.0|9.22|7.79|3.83|0.672|0.809|0.500|0.503|0.0314|16.1|6.59|0.910|1.28|4.52|0.650|8.875|0
M10X8|8.00|8.00|2.37|9.95|2.69|0.141|0.182|0.563|34.6|8.20|6.95|3.82|0.593|0.711|0.441|0.500|0.0224|14.2|6.57|0.800|1.13|4.01|0.646|8.875|0
M10X7.5|7.50|7.50|2.22|9.99|2.69|0.130|0.173|0.438|33.0|7.77|6.60|3.85|0.562|0.670|0.418|0.503|0.0187|13.5|6.60|0.770|1.09|3.80|0.646|9.125|0
M8X6.5|6.50|6.50|1.92|8.00|2.28|0.135|0.189|0.563|18.5|5.43|4.63|3.11|0.376|0.529|0.329|0.443|0.0184|5.73|4.45|0.480|0.790|2.66|0.563|6.875|0
M8X6.2|6.20|6.20|1.82|8.00|2.28|0.129|0.177|0.438|17.6|5.15|4.39|3.10|0.352|0.495|0.308|0.439|0.0156|5.38|4.46|0.450|0.740|2.52|0.560|7.125|0
M6X4.4|4.40|4.40|1.29|6.00|1.84|0.114|0.171|0.375|7.23|2.80|2.41|2.36|0.180|0.311|0.195|0.372|0.00990|1.53|2.68|0.210|0.430|1.37|0.467|5.25|0
M6X3.7|3.70|3.70|1.09|5.92|2.00|0.0980|0.129|0.313|5.96|2.33|2.01|2.34|0.173|0.273|0.173|0.398|0.00530|1.45|2.90|0.190|0.360|1.14|0.499|5.25|0
M5X18.9|18.9|18.9|5.56|5.00|5.00|0.316|0.416|0.813|24.2|11.1|9.67|2.08|8.70|5.33|3.48|1.25|0.313|45.7|5.73|2.98|2.23|5.45|1.44|3.375|2.75
M4X6|6.00|6.00|1.75|3.80|3.80|0.130|0.160|0.500|4.72|2.74|2.48|1.64|1.47|1.18|0.771|0.915|0.0184|4.87|3.46|0.530|0.530|1.30|1.04|2.75|0
M4X4.08|4.08|4.08|1.27|4.00|2.25|0.115|0.170|0.563|3.53|2.00|1.77|1.67|0.325|0.453|0.289|0.506|0.0147|1.19|2.15|0.210|0.350|0.930|0.593|2.875|0
M4X3.45|3.45|3.45|1.01|4.00|2.25|0.0920|0.130|0.500|2.86|1.60|1.43|1.68|0.248|0.346|0.221|0.496|0.00820|0.930|2.18|0.160|0.270|0.730|0.580|3|0
