name|weight|mass|A|d|bf|tw|tf|kdes|Ix|Zx|Sx|rx|Iy|Zy|Sy|ry|x|eo|J|Cw|rts|WGi|metricName
unit|lbf/ft|lbm/ft|in²|in|in|in|in|in|in⁴|in³|in³|in|in⁴|in³|in³|in|in|in|in⁴|in⁶|in|in|
C15X50|50|50|14.7|15|3.72|0.716|0.65|1.44|404|68.5|53.8|5.24|11|8.14|3.77|0.865|0.799|0.583|2.65|492|1.17|2.25|C380X74
C15X40|40|40|11.8|15|3.52|0.52|0.65|1.44|348|57.5|46.5|5.43|9.17|6.84|3.34|0.883|0.778|0.767|1.45|410|1.15|2|C380X60
C15X33.9|33.9|33.9|10|15|3.4|0.4|0.65|1.44|315|50.8|42|5.61|8.07|6.19|3.09|0.901|0.788|0.896|1.01|358|1.13|2|C380X50.4
C12X30|30|30|8.81|12|3.17|0.51|0.501|1.13|162|33.8|27|4.29|5.12|4.32|2.05|0.762|0.674|0.618|0.861|151|1.01|1.75|C310X45
C12X25|25|25|7.34|12|3.05|0.387|0.501|1.13|144|29.4|24|4.43|4.45|3.82|1.87|0.779|0.674|0.746|0.538|130|1.00|1.75|C310X37
C12X20.7|20.7|20.7|6.08|12|2.94|0.282|0.501|1.13|129|25.6|21.5|4.61|3.86|3.47|1.72|0.797|0.698|0.87|0.369|112|0.983|1.75|C310X30.8
C10X30|30|30|8.81|10|3.03|0.673|0.436|1.00|103|26.7|20.7|3.43|3.93|3.78|1.65|0.668|0.649|0.368|1.22|79.5|0.924|1.75|C250X45
C10X25|25|25|7.35|10|2.89|0.526|0.436|1.00|91.1|23.1|18.2|3.52|3.34|3.18|1.47|0.675|0.617|0.494|0.687|68.3|0.911|1.75|C250X37
C10X20|20|20|5.87|10|2.74|0.379|0.436|1.00|78.9|19.4|15.8|3.67|2.8|2.7|1.31|0.69|0.606|0.636|0.368|56.9|0.894|1.5|C250X30
C10X15.3|15.3|15.3|4.48|10|2.6|0.24|0.436|1.00|67.3|15.9|13.5|3.88|2.27|2.34|1.15|0.711|0.634|0.796|0.209|45.5|0.868|1.5|C250X22.8
C9X20|20|20|5.87|9|2.65|0.448|0.413|1.00|60.9|16.9|13.5|3.22|2.41|2.46|1.17|0.64|0.583|0.515|0.427|39.4|0.850|1.5|C230X30
C9X15|15|15|4.4|9|2.49|0.285|0.413|1.00|51|13.6|11.3|3.4|1.91|2.04|1.01|0.659|0.586|0.681|0.208|31|0.825|1.375|C230X22
C9X13.4|13.4|13.4|3.94|9|2.43|0.233|0.413|1.00|47.8|12.6|10.6|3.48|1.75|1.94|0.954|0.666|0.601|0.742|0.168|28.2|0.814|1.375|C230X19.9
C8X18.75|18.75|18.75|5.51|8|2.53|0.487|0.39|0.938|43.9|13.9|11|2.82|1.97|2.17|1.01|0.598|0.565|0.431|0.434|25.1|0.800|1.5|C200X27.9
C8X13.75|13.75|13.75|4.03|8|2.34|0.303|0.39|0.938|36.1|11|9.02|2.99|1.52|1.73|0.848|0.613|0.554|0.604|0.186|19.2|0.774|1.375|C200X20.5
C8X11.5|11.5|11.5|3.37|8|2.26|0.22|0.39|0.938|32.5|9.63|8.14|3.11|1.31|1.57|0.775|0.623|0.572|0.697|0.13|16.5|0.756|1.375|C200X17.1
C7X14.75|14.75|14.75|4.33|7|2.3|0.419|0.366|0.875|27.2|9.75|7.78|2.51|1.37|1.63|0.772|0.561|0.532|0.441|0.267|13.1|0.738|1.25|C180X22
C7X12.25|12.25|12.25|3.59|7|2.19|0.314|0.366|0.875|24.2|8.46|6.92|2.59|1.16|1.42|0.696|0.568|0.525|0.538|0.161|11.2|0.722|1.25|C180X18.2
C7X9.8|9.8|9.8|2.87|7|2.09|0.21|0.366|0.875|21.2|7.19|6.07|2.72|0.957|1.26|0.617|0.578|0.541|0.647|0.0996|9.15|0.698|1.25|C180X14.6
C6X13|13|13|3.82|6|2.16|0.437|0.343|0.813|17.3|7.29|5.78|2.13|1.05|1.35|0.638|0.524|0.514|0.38|0.237|7.19|0.689|1.375|C150X19.3
C6X10.5|10.5|10.5|3.07|6|2.03|0.314|0.343|0.813|15.1|6.18|5.04|2.22|0.86|1.14|0.561|0.529|0.5|0.486|0.128|5.91|0.669|1.125|C150X15.6
C6X8.2|8.2|8.2|2.39|6|1.92|0.2|0.343|0.813|13.1|5.16|4.35|2.34|0.687|0.987|0.488|0.536|0.512|0.599|0.0736|4.7|0.643|1.125|C150X12.2
C5X9|9|9|2.64|5|1.89|0.325|0.32|0.750|8.89|4.39|3.56|1.84|0.624|0.913|0.444|0.486|0.478|0.427|0.109|2.93|0.616|1.125|C130X13
C5X6.7|6.7|6.7|1.97|5|1.75|0.19|0.32|0.750|7.48|3.55|2.99|1.95|0.47|0.757|0.372|0.489|0.484|0.552|0.0549|2.22|0.584||C130X10.4
C4X7.25|7.25|7.25|2.13|4|1.72|0.321|0.296|0.750|4.58|2.84|2.29|1.47|0.425|0.695|0.337|0.447|0.459|0.386|0.0817|1.24|0.563|1|C100X10.8
C4X6.25|6.25|6.25|1.77|4|1.65|0.247|0.272|0.750|4|2.43|2|1.5|0.345|0.569|0.284|0.441|0.453|0.434|0.0487|1.03|0.549||C100X9.3
C4X5.4|5.4|5.4|1.58|4|1.58|0.184|0.296|0.750|3.85|2.29|1.92|1.56|0.312|0.565|0.277|0.444|0.457|0.501|0.0399|0.921|0.528||C100X8
C4X4.5|4.5|4.5|1.38|4|1.58|0.125|0.296|0.750|3.65|2.12|1.83|1.63|0.289|0.531|0.265|0.457|0.473|0.587|0.0322|0.871|0.506||C100X6.7
C3X6|6|6|1.76|3|1.6|0.356|0.273|0.688|2.07|1.74|1.38|1.09|0.3|0.543|0.263|0.413|0.455|0.322|0.0725|0.462|0.519||C75X8.9
C3X5|5|5|1.47|3|1.5|0.258|0.273|0.688|1.85|1.52|1.23|1.12|0.241|0.464|0.228|0.405|0.439|0.392|0.0425|0.379|0.496||C75X7.4
