name|weight|mass|A|OD|tnom|tdes|I|Z|S|r|J
  |lbf/ft|lbm/ft|in²|in|in|in|in⁴|in³|in³|in|in⁴
HSS20X.500|104|104|28.5|20|0.5|0.465|1360|177|136|6.91|2720
HSS20X.375|78.67|78.67|21.5|20|0.375|0.349|1040|135|104|6.95|2080
HSS18X.500|93.54|93.54|25.6|18|0.5|0.465|985|143|109|6.2|1970
HSS18X.375|70.66|70.66|19.4|18|0.375|0.349|754|109|83.8|6.24|1510
HSS16X.625|103|103|28.1|16|0.625|0.581|838|138|105|5.46|1680
HSS16X.500|82.85|82.85|22.7|16|0.5|0.465|685|112|85.7|5.49|1370
HSS16X.438|72.87|72.87|19.9|16|0.438|0.407|606|99|75.8|5.51|1210
HSS16X.375|62.64|62.64|17.2|16|0.375|0.349|526|85.5|65.7|5.53|1050
HSS16X.312|52.32|52.32|14.4|16|0.312|0.291|443|71.8|55.4|5.55|886
HSS16X.250|42.09|42.09|11.5|16|0.25|0.233|359|57.9|44.8|5.58|717
HSS14X.625|89.36|89.36|24.5|14|0.625|0.581|552|105|78.9|4.75|1100
HSS14X.500|72.16|72.16|19.8|14|0.5|0.465|453|85.2|64.8|4.79|907
HSS14X.375|54.62|54.62|15|14|0.375|0.349|349|65.1|49.8|4.83|698
HSS14X.312|45.65|45.65|12.5|14|0.312|0.291|295|54.7|42.1|4.85|589
HSS14X.250|36.75|36.75|10.1|14|0.25|0.233|239|44.2|34.1|4.87|478
HSS12.75X.500|65.48|65.48|17.9|12.8|0.5|0.465|339|70.2|53.2|4.35|678
HSS12.75X.375|49.61|49.61|13.6|12.8|0.375|0.349|262|53.7|41|4.39|523
HSS12.75X.250|33.41|33.41|9.16|12.8|0.25|0.233|180|36.5|28.2|4.43|359
HSS10.75X.500|54.79|54.79|15|10.8|0.5|0.465|199|49.2|37|3.64|398
HSS10.75X.375|41.59|41.59|11.4|10.8|0.375|0.349|154|37.8|28.7|3.68|309
HSS10.75X.250|28.06|28.06|7.7|10.8|0.25|0.233|106|25.8|19.8|3.72|213
HSS10X.625|62.64|62.64|17.2|10|0.625|0.581|191|51.6|38.3|3.34|383
HSS10X.500|50.78|50.78|13.9|10|0.5|0.465|159|42.3|31.7|3.38|317
HSS10X.375|38.58|38.58|10.6|10|0.375|0.349|123|32.5|24.7|3.41|247
HSS10X.312|32.31|32.31|8.88|10|0.312|0.291|105|27.4|20.9|3.43|209
HSS10X.250|26.06|26.06|7.15|10|0.25|0.233|85.3|22.2|17.1|3.45|171
HSS10X.188|19.72|19.72|5.37|10|0.188|0.174|64.8|16.8|13|3.47|130
HSS9.625X.500|48.77|48.77|13.4|9.63|0.5|0.465|141|39|29.2|3.24|281
HSS9.625X.375|37.08|37.08|10.2|9.63|0.375|0.349|110|30|22.8|3.28|219
HSS9.625X.312|31.06|31.06|8.53|9.63|0.312|0.291|93|25.4|19.3|3.3|186
