name|weight|mass|A|d|bf|tw|tf|kdes|Ix|Zx|Sx|rx|Iy|Zy|Sy|ry|J|Cw|Wno|Sw1|Qf|Qw|rts|T|WGi
 |lbf/ft|lbm/ft|in²|in|in|in|in|in|in⁴|in³|in³|in|in⁴|in³|in³|in|in⁴|in⁶|in²|in⁴|in³|in³|in|in|in
W44X335|335|335|98.5|44.0|15.9|1.03|1.77|2.56|31100|1620|1410|17.8|1200|236|150|3.49|74.7|535000|168|1180|278|805|4.24|38|5.5
W44X290|290|290|85.4|43.6|15.8|0.865|1.58|2.36|27000|1410|1240|17.8|1040|205|132|3.49|50.9|461000|166|1040|248|701|4.20|38|5.5
W44X262|262|262|77.2|43.3|15.8|0.785|1.42|2.20|24100|1270|1110|17.7|923|182|117|3.47|37.3|405000|165|928|223|630|4.17|38|5.5
W44X230|230|230|67.8|42.9|15.8|0.710|1.22|2.01|20800|1100|971|17.5|796|157|101|3.43|24.9|346000|165|793|192|547|4.13|38|5.5
W40X655|655|655|193|43.6|16.9|1.97|3.54|4.72|56500|3080|2590|17.1|2870|542|340|3.86|589|1150000|169|2530|529|1530|4.71|34|7.5
W40X593|593|593|174|43.0|16.7|1.79|3.23|4.41|50400|2760|2340|17.0|2520|481|302|3.80|445|997000|166|2240|479|1370|4.63|34|7.5
W40X503|503|503|148|42.1|16.4|1.54|2.76|3.94|41600|2320|1980|16.8|2040|394|249|3.72|277|789000|161|1830|403|1150|4.50|34|7.5
W40X431|431|431|127|41.3|16.2|1.34|2.36|3.54|34800|1960|1690|16.6|1690|328|208|3.65|177|638000|158|1510|341|969|4.41|34|7.5
W40X397|397|397|117|41.0|16.1|1.22|2.20|3.38|32000|1800|1560|16.6|1540|300|191|3.64|142|579000|156|1380|318|891|4.38|34|7.5
W40X372|372|372|110|40.6|16.1|1.16|2.05|3.23|29600|1680|1460|16.5|1420|277|177|3.60|116|528000|155|1280|295|829|4.33|34|7.5
W40X362|362|362|106|40.6|16.0|1.12|2.01|3.19|28900|1640|1420|16.5|1380|270|173|3.60|109|513000|154|1240|289|808|4.33|34|7.5
